1	0	1595
2	1595	3313
3	4908	824
4	5732	7995
5	13727	1356
6	15083	2017
7	17100	2595
8	19695	7361
9	27056	8572
10	35628	1535
11	37163	4895
12	42058	4318
13	46376	4142
14	50518	19037
15	69555	8494
16	78049	9170
17	87219	22743
18	109962	2369
19	112331	3951
20	116282	3650
21	119932	5625
22	125557	5619
23	131176	2366
24	133542	8643
25	142185	2649
26	144834	6346
27	151180	3603
28	154783	10393
29	165176	7903
30	173079	2572
31	175651	1192
32	176843	2976
33	179819	5933
34	185752	6540
35	192292	3388
36	195680	2112
37	197792	8676
38	206468	4887
39	211355	1765
40	213120	2357
41	215477	4056
42	219533	1064
43	220597	2166
44	222763	13189
45	235952	18804
46	254756	32163
47	286919	11213
48	298132	11320
49	309452	21760
50	331212	24274
51	355486	54402
52	409888	1284
53	411172	2235
54	413407	32484
55	445891	46540
56	492431	16887
57	509318	27317
58	536635	17976
59	554611	8357
60	562968	12012
61	574980	35923
62	610903	24358
63	635261	52145
64	687406	21333
65	708739	15772
66	724511	23409
67	747920	19517
68	767437	21754
69	789191	10002
70	799193	25490
71	824683	14201
72	838884	26997
73	865881	18553
74	884434	34970
75	919404	10643
76	930047	16900
77	946947	21045
78	967992	16426
79	984418	26713
80	1011131	23551
81	1034682	26848
82	1061530	19640
83	1081170	9721
84	1090891	15550
85	1106441	17546
86	1123987	19181
87	1143168	18336
88	1161504	10493
89	1171997	11360
90	1183357	18752
91	1202109	30920
92	1233029	10645
93	1243674	865
94	1244539	29571
95	1274110	15274
96	1289384	14224
97	1303608	10599
98	1314207	19205
99	1333412	18320
100	1351732	14558
101	1366290	18541
102	1384831	19531
103	1404362	21642
104	1426004	1538
105	1427542	32797
106	1460339	11955
107	1472294	22647
108	1494941	20430
109	1515371	21836
110	1537207	10185
111	1547392	17173
112	1564565	14489
113	1579054	12609
114	1591663	16764
115	1608427	14318
116	1622745	21543
117	1644288	20977
118	1665265	26002
119	1691267	19984
120	1711251	23435
121	1734686	14987
122	1749673	17607
123	1767280	18076
124	1785356	16991
125	1802347	22299
126	1824646	17291
127	1841937	1327
128	1843264	27232
129	1870496	58003
130	1928499	17626
131	1946125	9544
132	1955669	1512
133	1957181	19893
134	1977074	7479
135	1984553	5053
136	1989606	20607
137	2010213	27094
138	2037307	905
139	2038212	8950
140	2047162	29041
141	2076203	21311
142	2097514	26499
143	2124013	50081
144	2174094	26488
145	2200582	16788
146	2217370	27422
147	2244792	24377
148	2269169	36202
149	2305371	11485
150	2316856	26485
151	2343341	16391
152	2359732	22179
153	2381911	12783
154	2394694	6631
155	2401325	13039
156	2414364	22013
157	2436377	15447
158	2451824	25984
159	2477808	17199
160	2495007	20086
161	2515093	10075
162	2525168	22572
163	2547740	18851
164	2566591	27640
165	2594231	18679
166	2612910	17004
167	2629914	34344
168	2664258	986
169	2665244	21691
170	2686935	23496
171	2710431	5970
172	2716401	16536
173	2732937	41361
174	2774298	30660
175	2804958	37561
176	2842519	7186
177	2849705	29240
178	2878945	23264
179	2902209	19770
180	2921979	12473
181	2934452	19691
182	2954143	29993
183	2984136	33323
184	3017459	15828
185	3033287	9755
186	3043042	19348
187	3062390	53510
188	3115900	33622
189	3149522	10636
190	3160158	20752
191	3180910	11105
192	3192015	18845
193	3210860	13253
194	3224113	15423
195	3239536	29520
196	3269056	33723
197	3302779	22519
